check_name,status,observed,expected,checked_at
dim_date.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
dim_date.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_date.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_users.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
dim_users.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_users.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_matches.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
dim_matches.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_matches.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_teams.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
dim_teams.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_teams.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_players.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
dim_players.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_players.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_content.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
dim_content.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
dim_content.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_match_events.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
fact_match_events.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_match_events.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_app_events.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
fact_app_events.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_app_events.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_campaign_spend.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
fact_campaign_spend.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_campaign_spend.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_experiment_assignments.schema,PASS,complete,complete,2026-07-22 12:01:29.395978+00:00
fact_experiment_assignments.primary_key_unique,PASS,0,0,2026-07-22 12:01:29.395978+00:00
fact_experiment_assignments.primary_key_not_null,PASS,0,0,2026-07-22 12:01:29.395978+00:00
app_events.user_fk,PASS,0,0,2026-07-22 12:01:29.395978+00:00
app_events.date_fk,PASS,0,0,2026-07-22 12:01:29.395978+00:00
app_events.content_fk,PASS,0,0,2026-07-22 12:01:29.395978+00:00
content.match_fk,PASS,0,0,2026-07-22 12:01:29.395978+00:00
app_events.match_fk,PASS,0,0,2026-07-22 12:01:29.395978+00:00
match_events.match_fk,PASS,0,0,2026-07-22 12:01:29.395978+00:00
match_events.xg_range,PASS,0,0,2026-07-22 12:01:29.395978+00:00
app_events.session_order,PASS,0,0,2026-07-22 12:01:29.395978+00:00
experiment.no_crossover,PASS,0,0,2026-07-22 12:01:29.395978+00:00
